gamma,alpha,mean_excess,ci95_low_excess,ci95_high_excess,n_reps,n_rounds
0.75,0.08,-0.012437107684968236,-0.013542135900731472,-0.011332079469205,100,2000
0.75,0.09,-0.013013612040351497,-0.014461763670159973,-0.011565460410543021,100,2000
0.75,0.1,-0.013526696216871218,-0.015104853267012702,-0.011948539166729735,100,2000
0.75,0.11,-0.011200063403956175,-0.012682634250030998,-0.009717492557881353,100,2000
0.75,0.12,-0.010474831646586564,-0.012439991179865854,-0.008509672113307274,100,2000
0.75,0.13,-0.009695726990441,-0.011398904587315168,-0.007992549393566832,100,2000
0.75,0.14,-0.010126030084859563,-0.012062994837695181,-0.008189065332023945,100,2000
0.75,0.15,-0.011197260747488147,-0.013171677528716506,-0.009222843966259787,100,2000
0.75,0.16,-0.006403272926118728,-0.00818930897484516,-0.004617236877392296,100,2000
0.75,0.17,-0.0045695818250663656,-0.006804251984331433,-0.0023349116658012976,100,2000
0.75,0.18,-0.003258061011469078,-0.005355643973383679,-0.0011604780495544764,100,2000
0.75,0.19,0.0008089829498689683,-0.0015785226613068597,0.0031964885610447965,100,2000
0.75,0.2,0.0025175341866360123,0.0002784725479753748,0.004756595825296649,100,2000
0.75,0.21,0.0038392432840817945,0.0015543441752635472,0.0061241423929000414,100,2000
0.75,0.22,0.009663880402005751,0.007182636541541044,0.012145124262470459,100,2000
0.75,0.23,0.012702718696893552,0.009906467413786896,0.015498969980000207,100,2000
0.75,0.24,0.01491324236511148,0.01202479496034159,0.01780168976988137,100,2000
0.75,0.25,0.023924201790433388,0.02089605894970587,0.026952344631160904,100,2000
0.75,0.26,0.02741443840062988,0.024305245572207652,0.030523631229052106,100,2000
0.75,0.27,0.03192524795738813,0.028663696804459807,0.035186799110316455,100,2000
0.75,0.28,0.03662620651691852,0.03336435527880974,0.03988805775502731,100,2000
0.75,0.29,0.042063811744365014,0.03844303551707588,0.045684587971654145,100,2000
0.75,0.3,0.048402724614614104,0.044810589464635,0.051994859764593206,100,2000
0.75,0.31,0.054404204679035714,0.05081105642864173,0.0579973529294297,100,2000
0.75,0.32,0.06307798881459831,0.0591271118267866,0.06702886580241002,100,2000
0.75,0.33,0.06947154148105836,0.06584818119294832,0.0730949017691684,100,2000
0.75,0.34,0.08147796919028831,0.07747733056661982,0.0854786078139568,100,2000
0.75,0.35,0.09012748479448814,0.08549808282238641,0.09475688676658986,100,2000
0.75,0.36,0.10177288951626076,0.09697743988784174,0.10656833914467978,100,2000
0.75,0.37,0.11724516783937228,0.11285475325247234,0.12163558242627222,100,2000
0.75,0.38,0.12643925427542754,0.1213407617186901,0.131537746832165,100,2000
0.75,0.39,0.1375639843724529,0.13229964173517433,0.14282832700973147,100,2000
0.75,0.4,0.14777425748035208,0.1424696950778574,0.15307881988284677,100,2000
0.75,0.41,0.16615177095736922,0.1600602280413833,0.17224331387335512,100,2000
0.75,0.42,0.1854656255523495,0.1786461895905313,0.1922850615141677,100,2000
0.75,0.43,0.2084054449451876,0.20107937389932326,0.21573151599105192,100,2000
0.75,0.44,0.22847882287934987,0.22099890653628734,0.2359587392224124,100,2000
0.75,0.45,0.26132981111369186,0.25205858293434685,0.27060103929303686,100,2000
